Organizations involved,States,Areas,Ownership,Industry code[1],Union,Union acronym,Union Local,Bargaining unit,Work stoppage beginning date,Work stoppage ending date,Number of workers[2],"Days idle, cumulative for this work stoppage[3]",Note
"Fieldcrest Cannon, Inc.","NC, VA",Multiple states,Private industry,3141,Amalgamated Clothing and Textile Workers Union,ACTWU,,,5/17/93,5/18/93,"2,000","4,000",
Central Illinois Public Service Company,IL,Statewide,Private industry,2211,International Brotherhood of Electrical Workers; International Union of Operating Engineers,"IBEW, IUOE",,,5/20/93,8/30/93,"1,600","113,600",
"NBC Merchants, Inc.",IN,Evansville,Private industry,44812,International Ladies Garment Workers Union,ILGWU,399,,6/2/93,6/6/93,"1,300","3,900",
Frigidaire Company,IA,Webster City,Private industry,335224,United Automobile Workers,UAW,,,6/13/93,7/8/93,"1,200","21,600",
"General Contractors of New York, Inc.",NY,New York,Private industry,23731,International Union of Operating Engineers,IUOE,,,7/1/93,7/14/93,"4,000","36,000",
Sanitation companies,NJ,Wayne,Private industry,562111,International Brotherhood of Teamsters,IBT,,,7/1/93,7/12/93,"1,800","12,600",
Independent Bituminous Coal Bargaining Alliance,AL,Birmingham,Private industry,212112,United Mine Workers of America,UMWA,,,7/13/93,7/19/93,"1,200","6,000",
"Cleveland Cliffs, Inc.","MI, MN",Multiple states,Private industry,21221,United Steelworkers,USW,,,8/1/93,9/8/93,"2,900","78,300",
Best Form Foundations,PA,Statewide,Private industry,3152,International Ladies' Garment Workers Union,ILGWU,,,8/2/93,8/3/93,"1,000","2,000",
Greater St. Louis Automotive Assn.,MO,St. Louis,Private industry,44111,International Association of Machinists,IAM,,,8/3/93,8/7/93,"1,700","6,800",
Philadelphia Gas Works,PA,Philadelphia,Private industry,22121,Service Employees International Union,SEIU,686,,8/6/93,10/26/93,"1,800","99,000",
"City Markets, Inc.",CO,Grand Junction,Private industry,44511,United Food and Commercial Workers,UFCW,,,8/7/93,9/4/93,"1,100","22,000",
Los Angeles Department of Water and Power,CA,Los Angeles County,Local government,22131,International Brotherhood of Electrical Workers; Engineers and Architects Association,"IBEW, EAA",,,9/1/93,9/9/93,"9,000","54,000",
Youngstown Public Schools,OH,Youngstown,Local government,61111,Youngstown Education Association,NEA,Independent,,9/8/93,10/5/93,"1,000","20,000",
Pacific Maritime Association,CA,"San Francisco, Oakland, Sacramento",Private industry,48832,International Longshore and Warehouse Union,ILWU,,,9/10/93,9/10/93,"1,500","1,500",
Blue Cross Blue Shield of Michigan,MI,Detroit,Private industry,524114,United Automobile Workers,UAW,,,9/20/93,11/5/93,"3,400","115,600",
Southern California Gas Company,CA,Southern,Private industry,22121,"Utility Workers Union of America, International Chemical Workers Union","UWUA, ICWU",,,10/1/93,10/1/93,"6,000","6,000",
Liquor and wine distributors,NJ,Union County,Private industry,42482,Distillery Workers Union,DWU,,,10/4/93,10/22/93,"1,000","14,000",
"Dyeing, finishing, and printing companies",NY,New York,Private industry,313312,Amalgamated Clothing and Textile Workers Union,ACTWU,,,10/23/93,12/14/93,"2,000","70,000","The number of workers involved decreased below 1,000 on 12/14/1993."
Boston Public Schools,MA,Boston,Local government,61111,American Federation of Teachers,AFT,,,10/27/93,10/27/93,"5,700","5,700",
"Elevator Industries, Inc.",NY,Flushing,Private industry,23829,International Brotherhood of Electrical Workers,IBEW,,,11/5/93,11/15/93,"1,600","9,600",
"Caterpillar, Inc.","IL, CO, PA",Multiple states,Private industry,333111,United Automobile Workers,UAW,,,11/11/93,11/14/93,"14,000","14,000",
American Airlines,Interstate,,Private industry,481111,Association of Professional Flight Attendants,APFA,,,11/18/93,11/22/93,"19,000","57,000",
General Motors Corp.,LA,Shreveport,Private industry,3361,United Automobile Workers,UAW,,,1/11/94,1/17/94,"2,500","12,500",
Continental Baking Company,CA,Northern,Private industry,311812,International Brotherhood of Teamsters,IBT,,,2/4/94,2/11/94,"1,100","6,600",
United Parcel Service,Interstate,,Private industry,49211,International Brotherhood of Teamsters,IBT,,,2/7/94,2/7/94,"40,000","40,000",
Wheeling Pittsburgh Steel Corp.,"PA, OH, WV",Multiple states,Private industry,331111,United Steelworkers,USW,,,3/1/94,3/3/94,"4,700","14,100",
General Motors Corp.,OH,Dayton,Private industry,326199,United Automobile Workers,UAW,,,3/14/94,3/16/94,"10,900","16,900",
Health-Tex Inc.,"VA, AL, GA",Multiple states,Private industry,315299,Amalgamated Clothing and Textile Workers Union,ACTWU,,,3/14/94,3/16/94,"1,200","3,600",
Allegheny Ludlum Corp.,Interstate,,Private industry,331111,United Steelworkers,USW,,,4/1/94,6/9/94,"3,500","171,500",
Trucking Management Inc.,Interstate,,Private industry,48412,International Brotherhood of Teamsters,IBT,,,4/6/94,4/29/94,"71,000","1,180,500",
Grinnell Fire Protection Systems Company,NH,Exeter,Private industry,334290,Plumbers and Pipefitters Union,PPF,669,,4/15/94,5/1/94,"1,000","11,000",
Hawaii-State and county government,HI,Statewide,State and local government,92,"American Federation of State, County and Municipal Employees",AFSCME,,,4/18/94,4/29/94,"15,800","136,500",
"Caterpillar, Inc.",IL,"Aurora, Decatur",Private industry,3331,United Automobile Workers,UAW,,,4/26/94,4/26/94,"2,800","2,800",
Meijer Inc.,OH,Toledo,Private industry,44511,United Food and Commercial Workers,UFCW,,,5/7/94,6/30/94,"1,000","38,000",
"Caterpillar, Inc.",PA,York,Private industry,3331,United Automobile Workers,UAW,,,5/12/94,5/15/94,"1,500","3,000",
"Caterpillar, Inc.",IL,Mossville,Private industry,3331,United Automobile Workers,UAW,,,5/16/94,5/20/94,"7,500","37,500",
Conrail,Interstate,,Private industry,482111,Brotherhood of Maintenance of Way Employees,BMWE,,,5/20/94,5/20/94,"3,500","3,500",
Leslie Fay Companies Inc.,"NY, NJ, PA",Multiple states,Private industry,31523,International Ladies' Garment Workers Union,ILGWU,,,6/1/94,7/14/94,"1,800","55,800",
"General Motors Corp., Technical Center",MI,Warren,Private industry,3361,United Automobile Workers,UAW,,,6/2/94,6/8/94,"3,500","17,500",
Connecticut Construction Contractors,CT,,Private industry,23731,International Brotherhood of Teamsters,IBT,,,6/6/94,6/18/94,"6,000","60,000",
"Caterpillar, Inc.",IL,Aurora,Private industry,333111,United Automobile Workers,UAW,,,6/7/94,6/15/94,"2,000","14,000",
Monon Corp.,IN,Monon,Private industry,33621,United Brotherhood of Carpenters,UBC,,,6/7/94,7/1/94,"2,000","38,000",
Long Island Rail Road,NY,Long Island,Local government,482111,United Transportation Union,UTU,,,6/17/94,6/18/94,"5,400","5,400",
"Caterpillar, Inc.","IL, MI, PA, CO",Multiple states,Private industry,3331,United Automobile Workers,UAW,,,6/20/94,12/3/95,"14,000","4,063,000","Number of workers involved decreased from initial 14,000 to 11,000 as 3,000 returned to work by 06/27/1994."
General Dynamics,"MI, OH, PA",Multiple states,Private industry,336992,United Automobile Workers,UAW,,,6/20/94,7/22/94,"2,000","48,000",
Dunlop Tire Company,AL,Madison,Private industry,326211,United Rubber Workers,URW,,,6/21/94,9/24/94,"2,000","134,000",
Bridgestone/Firestone Inc.,"OH, IN, IL, OK, IA",Multiple states,Private industry,326211,United Rubber Workers,URW,,,7/12/94,5/22/95,"4,200","806,400","By mid-January 1995, approximately 1,000 workers had returned to work."
Soo Line Railroad,Interstate,,Private industry,482111,United Transportation Union,UTU,,,7/14/94,8/29/94,"3,500","87,900","Number of workers involved increased from 1,200 in July to 3,500 in August."
Pirelli Armstrong Tire Corp.,"TN, IA, CA",Multiple states,Private industry,326211,United Rubber Workers,URW,,,7/15/94,3/12/95,"1,700","184,000","On 08/26/1994, the number of workers declined to 1,000 when 700 workers returned to work after Pirelli sold its Des Moines, IA plant to Titan Wheel."
Los Angeles Metropolitan Transportation Authority,CA,Los Angeles,Local government,485111,Amalgamated Transit Union,ATU,,,7/25/94,8/2/94,"7,200","50,400",
Chicago Automotive Trade Association,IL,Chicago,Private industry,44111,International Association of Machinists,IAM,,,8/2/94,8/10/94,"3,000","21,000",
Food Employers Inc.,"OR, WA","Portland, OR; Vancouver, WA",Private industry,44511,United Food and Commercial Workers,UFCW,,,8/18/94,11/12/94,"7,000","413,000",
"General Motors Corp., Inland Fisher Guide Plant",IN,Anderson,Private industry,336321,United Automobile Workers,UAW,,,8/23/94,8/25/94,"46,400","63,300",
Ann Arbor Board of Education,MI,Ann Arbor,Local government,61111,National Education Association,NEA,,,8/29/94,9/11/94,"1,100","9,900",
Eagle Electric Manufacturing Company,NY,Long Island,Private industry,33593,United Automobile Workers,UAW,,,8/31/94,9/15/94,"1,100","12,100",
"General Electric Corp., Industrial and Power Systems",NY,Schenectady,Private industry,333611,"International Union of Electronic, Electrical, Salaried, Machine and Furniture Workers",IUE,301,Electrical workers,9/1/94,9/1/94,"4,000","4,000",Steam turbine plant.
Livonia Board of Education,MI,Livonia,Local government,61111,National Education Association,NEA,,,9/1/94,9/6/94,"1,000","3,000",
SNE Corp.,WI,Mosinee,Private industry,321911,United Brotherhood of Carpenters,UBC,1594,,9/1/94,9/10/94,"1,000","6,000",
Federal Way Board of Education,WA,Federal Way,Local government,61111,National Education Association,NEA,,,9/6/94,9/13/94,"1,000","6,000",
Alameda County,CA,Alameda County,Local government,92,Service Employees International Union,SEIU,,,9/20/94,9/20/94,"1,200","1,200",
Philips Display Components Company,OH,Findlay,Private industry,33422,International Brotherhood of Electrical Workers,IBEW,,,9/26/94,10/2/94,"1,500","7,500",
"General Motors Corp., Buick City facility",MI,Flint,Private industry,3361,United Automobile Workers,UAW,,,9/27/94,9/30/94,"22,300","74,000",
Legal Aid Society,NY,New York,Private industry,54111,Association of Legal Aid Attorneys,ALAA,,,10/1/94,10/4/94,"1,100","2,200",
North American Rayon Company,TN,Elizabethton,Private industry,325221,Amalgamated Clothing and Textile Workers Union,ACTWU,,,10/4/94,12/2/94,"1,000","41,000",
Denver Public Schools,CO,Denver,Local government,61111,Denver Classroom Teachers Association,NEA,Independent,,10/10/94,10/15/94,"3,000","12,000",
Anchorage School District,AK,Anchorage,Local government,61111,National Education Association,NEA,Independent,,10/12/94,10/14/94,"2,900","8,700",
San Francisco Newspapers,CA,San Francisco,Private industry,51111,Conference of Newspaper Unions,CNU,,,11/1/94,11/12/94,"2,600","20,800",
General Motors Corp.,MI,Flint,Private industry,3361,United Automobile Workers,UAW,,,1/18/95,1/20/95,"37,700","64,500","On 01/18/1995 6,800 workers struck, resulting in idling of an additional 30,900 workers at 10 facilities."
Kaiser Aluminum and Chemical Corp.,"LA, OH, WA",Multiple states,Private industry,331312,United Steelworkers,USW,,,2/20/95,2/28/95,"3,000","18,000",
Group Health Cooperative of Puget Sound,WA,Seattle,Private industry,62211,Service Employees International Union,SEIU,,,3/22/95,3/23/95,"1,200","1,200",
Southeastern Pennsylvania Transportation Authority,PA,Philadelphia area,State government,48521,Transport Workers Union,TWU,234,,3/28/95,4/10/95,"5,200","52,000",
Chrysler Corp.,IN,Kokomo,Private industry,3361,United Automobile Workers,UAW,,,3/31/95,3/31/95,"5,700","5,700",
"General Motors Corp, Pontiac East Truck Plant",MI,Pontiac,Private industry,3361,United Automobile Workers,UAW,,,3/31/95,4/5/95,"5,500","22,000",
Construction industry,CA,Southern,Private industry,23831,No formal union,,,Drywall workers,4/3/95,6/15/95,"3,000","108,000","The number of workers involved increased from 1,000 in April, 2,500 in May, to 3,000 in June."
"Retail grocery chains - Safeway, Lucky Stores, Save Mart",CA,Northern,Private industry,44511,United Food and Commercial Workers,UFCW,,,4/7/95,4/15/95,"32,000","192,000",
"University of California, Los Angeles",CA,Los Angeles,State government,61131,Student Association. of Graduate Employees at UCLA,SAGEU,,,4/26/95,4/27/95,"3,000","6,000",
Oregon State,OR,Statewide,State government,92,Service Employees International Union,SEIU,,,5/8/95,5/14/95,"14,000","50,000",
Washington Gas Light Company,"DC, MD, VA",Washington DC Metro Area,Private industry,22121,Gas workers,,,,6/10/95,9/7/95,"1,100","77,000",
Pepsi Cola Bottling Company,CA,Statewide,Private industry,312111,International Brotherhood of Teamsters,IBT,,,6/26/95,6/28/95,"1,000","3,000",
New Jersey Turnpike Authority,NJ,Statewide,State government,48849,International Federation of Professional and Technical Engineers,IFPTE,,,7/3/95,7/4/95,"1,600","3,200",
Detroit Newspapers,MI,Detroit,Private industry,51111,International Brotherhood of Teamsters and other Metropolitan Council of Newspaper Unions,"IBT. TNG, CWA. GCIU",,,7/13/95,2/19/97,"2,500","1,012,500",
Chrysler Corp.,IA,Dodge City,Private industry,3361,United Automobile Workers,UAW,,,7/31/95,7/31/95,"3,900","3,900",
Pacific Maritime Association,"CA, OR, WA",Multiple states,Private industry,48832,International Longshore and Warehouse Union,ILWU,,,8/7/95,8/7/95,"7,500","7,500",
CSX Corp.,Interstate,,Private industry,482111,Brotherhood of Maintenance of Way Employees,BMWE,,,8/17/95,8/17/95,"1,200","1,200",
Bell Atlantic Corp.,Interstate,,Private industry,517,Communications Workers of America,CWA,,,8/31/95,8/31/95,"2,000","2,000",
"WCI Steel, Inc.",OH,Warren,Private industry,331111,United Steelworkers,USW,,,8/31/95,10/24/95,"1,700","68,000",
Providence Public Schools,RI,Providence,Local government,61111,American Federation of Teachers,AFT,,,9/5/95,9/14/95,"1,600","12,800",
Ryder Systems Inc.,Interstate,,Private industry,4841,International Brotherhood of Teamsters,IBT,,,9/7/95,10/7/95,"5,000","110,000",
Oregon Health and Sciences University,OR,Portland,State government,62211,"American Federation of State, County, and Municipal Employees",AFSCME,,,9/19/95,9/22/95,"3,200","12,800",
Amana Refrigeration Inc.,IA,Cedar Rapids,Private industry,335222,International Association of Machinists,IAM,,,9/24/95,9/28/95,"2,000","8,000",
Inter City Products,TN,Lewisburg,Private industry,33341,International Brotherhood of Boilermakers,BBF,,,10/5/95,10/20/95,"2,000","22,000",
Boeing Company,"WA, KS, OR",Multiple states,Private industry,336411,International Association of Machinists,IAM,,,10/6/95,12/14/95,"33,000","1,551,000",
Metropolitan Council/Metro Transit,MN,Minneapolis-St. Paul,Local government,48521,Amalgamated Transit Union,ATU,1005,,10/9/95,10/29/95,"2,000","38,000",
Amphenol Corp.,NY,Sidney,Private industry,335931,International Association of Machinists,IAM,,,10/21/95,10/28/95,"1,000","5,000",
General Electric Corp.,PA,Erie,Private industry,336510,United Electrical Workers,UE,Independent,,10/26/95,10/30/95,"3,200","9,600",
"Chrysler Corp., McGraw Glass Division",MI,Detroit,Private industry,3361,United Automobile Workers,UAW,,,11/1/95,11/4/95,"1,000","3,000",
Oakland Unified School District,CA,Oakland,Local government,61111,Oakland Education Association,NEA,Independent,,11/28/95,11/29/95,"3,500","7,000",
Commercial Building Realty Advisory Board,NY,New York,Private industry,53112,Service Employees International Union,SEIU,,,1/4/96,2/4/96,"30,000","630,000",
Trailmobile Manufacturing Company,IL,Charleston,Private industry,336212,United Paperworkers International Union,UPIU,,,1/21/96,7/3/96,"1,100","127,600",
Oakland Public Schools,CA,Oakland,Local government,61111,Oakland Education Association,NEA,Independent,,1/30/96,1/30/96,"3,500","3,500",
San Diego Public Schools,CA,San Diego,Local government,61111,San Diego Teachers Association,NEA,Independent,,2/1/96,2/8/96,"5,000","30,000",
Los Angeles and Long Beach Ports,CA,"Los Angeles, Long Beach",Private industry,48831,International Longshore and Warehouse Union,ILWU,,,2/5/96,2/5/96,"3,000","3,000",
Yale University,CT,New Haven,Private industry,61131,Hotel Employees and Restaurant Employees,HERE,,Clerical workers,2/7/96,3/5/96,"1,200","22,800",
Ingalls Shipbuilding Inc.,MS,Pascagoula,Private industry,336611,Metal Trades Council,MTC,,,2/14/96,2/15/96,"7,600","14,200",Now part of the AFL-CIO
Oakland Unified School District,CA,Oakland,Local government,61111,Oakland Education Association,NEA,Independent,,2/15/96,3/20/96,"3,500","84,000",
Chrysler Corp.,MI,Warren,Private industry,3361,United Automobile Workers,UAW,,,2/17/96,2/19/96,"1,800","1,800",
Nursing home industry,WV,Statewide,Private industry,62311,Service Employees International Union,SEIU,,,3/4/96,3/4/96,"1,000","1,000",
General Motors Corp.,OH,Dayton,Private industry,3361,United Automobile Workers,UAW,,,3/8/96,3/22/96,"136,000","1,260,000",Excludes workers in Canada and Mexico.
Yale University,CT,New Haven,Private industry,61131,Hotel Employees and Restaurant Employees,HERE,,Food service and custodial workers,3/27/96,4/23/96,"1,100","22,000",
Beverly Enterprises,Interstate,,Private industry,623,Service Employees International Union,SEIU,,,4/1/96,4/3/96,"1,200","3,600",
Maryland Heavy-Highway Contractors Association,MD,Baltimore,Private industry,237,International Union of Operating Engineers,IUOE,,,4/9/96,4/10/96,"1,000","2,000",
General Motors Corp.,OH,Lordstown,Private industry,3361,United Automobile Workers,UAW,,,4/15/96,4/16/96,"1,500","3,000",
Crown Cork and Seal Company,"WA, NE, OR, ID, MD, WI",Multiple states,Private industry,3324,International Association of Machinists,IAM,,,4/19/96,6/8/96,"1,000","35,000",
Grocery industry-- Safeway and King Soopers,CO,Denver area,Private industry,44511,United Food and Commercial Workers,UFCW,,,5/14/96,6/26/96,"12,000","372,000",
"NBC Merchants, Inc.",IN,Evansville,Private industry,4243,"Union of Needletrades, Industrial and Textile Employees",UNITE,,,6/1/96,6/14/96,"1,300","13,000",
Northern Illinois Mason Employers Council,IL,Chicago,Private industry,23814,International Union of Bricklayers and Allied Craftworkers,BAC,,,6/1/96,6/12/96,"6,500","52,000",
Bay Area cleaning companies,CA,"Alameda, Contra Costa, Santa Clara, San Mateo Counties",Private industry,56172,Service Employees International Union,SEIU,,,6/3/96,7/2/96,"4,900","107,800",
McDonnell Douglas Aerospace,MO,St. Louis,Private industry,336411,International Association of Machinists,IAM,,,6/5/96,9/16/96,"6,700","482,400",
Compton Public Schools,CA,Compton,Local government,61111,Compton Teachers Association,NEA,Independent,,6/10/96,6/10/96,"1,100","1,100",
League of Voluntary Hospitals,NY,New York,Private industry,62211,Service Employees International Union,SEIU,,,6/24/96,8/28/96,"5,800","272,600",
Contra Costa County Public Schools District,CA,Contra Costa County,Local government,61111,"California Nurses Association, American Federation of State, County, and Municipal Employees, Service Employees International Union, Appraisers Association of America","CNA, AFSME, SEIU, AA",,,6/26/96,6/26/96,"4,100","4,100",
National Steel and Shipbuilding Company,CA,San Diego,Private industry,336611,"Bridge, Structural, Ornamental and Iron Workers, International Association of Machinists, International Brotherhood of Teamsters, International Brotherhood of Electrical Workers, International Union of Painters and Allied Trades, United Brotherhood of Carpenters, and International Union of Operating Engineers","BSOIW, IAM, IBT, IBEW, IUPAT, UBC, IUOE",,,7/17/96,8/16/96,"2,500","49,100","On 08/16/1996, the number of workers involved decreased below 1,000."
Pemco Aeroplex Inc.,AL,Birmingham,Private industry,336411,United Automobile Workers,UAW,,,7/22/96,3/21/97,"1,100","183,700",
East St. Louis School District,IL,East St. Louis,Local government,61111,American Federation of Teachers,AFT,,,9/3/96,9/15/96,"1,200","10,800",
Aluminum Company of America,OH,Cleveland,Private industry,332112,United Automobile Workers,UAW,,,9/5/96,9/29/96,"1,300","22,100",
Boise Cascade Corp.,Interstate,,Private industry,322,Southern Council of Industrial Workers,SCIW,,,9/12/96,10/12/96,"3,800","45,600",
Wheeling Pittsburgh Steel Corp.,Interstate,,Private industry,331111,United Steelworkers,USW,,,10/1/96,8/12/97,"4,800","1,142,400",
Holt Cargo Systems Inc.,PA,Philadelphia,Private industry,48831,International Longshoremen's Association,ILA,,,10/7/96,10/24/96,"1,200","15,600",
Kennecott Utah Copper Corp.,UT,Salt Lake County,Private industry,212234,,,,,10/16/96,10/18/96,"1,700","5,100",17 unions
General Motors Corp.,IN,Indianapolis,Private industry,3361,United Automobile Workers,UAW,,,10/30/96,11/3/96,"2,700","8,100",
General Motors Corp.,WI,Janesville,Private industry,3361,United Automobile Workers,UAW,,,10/30/96,11/6/96,"5,100","30,600",
Elevator Industry,NY,Flushing,Private industry,23829,International Brotherhood of Electrical Workers,IBEW,,,11/1/96,3/2/97,"1,500","120,000",
IBP Inc.,IL,Joslin,Private industry,311611,United Food and Commercial Workers,UFCW,,,11/12/96,11/29/96,"1,800","23,400",
Giant Food Inc.,MD,Landover,Private industry,44511,International Brotherhood of Teamsters,IBT,,,12/18/96,1/19/97,"2,100","41,100",
General Motors Corp.,OH,Moraine,Private industry,3361,"International Union of Electronic, Electrical, Salaried, Machine and Furniture Workers",IUE,,,1/25/97,1/28/97,"4,300","8,600",
General Motors Corp.,IN,Fort Wayne,Private industry,3361,United Automobile Workers,UAW,,,3/14/97,3/27/97,"2,700","27,000",
General Motors Corp.,OK,Oklahoma City,Private industry,3361,United Automobile Workers,UAW,,,4/4/97,5/24/97,"3,500","126,000",
Chrysler Corp.,"MI, MO, OH",Interstate,Private industry,3361,United Automobile Workers,UAW,,,4/10/97,5/9/97,"15,100","306,800",Excludes workers in Canada and Mexico.
Kaiser Permanente,CA,Northern,Private industry,622,California Nurses Association,CNA,,,4/16/97,4/16/97,"17,000","17,000",
Goodyear Tire and Rubber Company,Interstate,,Private industry,326211,United Steelworkers,USW,,,4/20/97,5/8/97,"12,000","168,000",
Goodyear/Kelly-Springfield Tire Company,SC,Fayetteville,Private industry,326211,United Steelworkers,USW,,,4/22/97,5/8/97,"2,300","29,900",
General Motors Corp.,MI,Pontiac,Private industry,3361,United Automobile Workers,UAW,,,4/23/97,7/19/97,"5,900","359,900",
Carrier Air Conditioning Company,TN,McMinnville,Private industry,333415,Sheet Metal Workers,SMW,,,5/1/97,6/8/97,"1,300","33,800",
Construction Employers Association,OH,Cleveland area,Private industry,2362,Laborers International Union of North America,LIUNA,,,5/1/97,5/9/97,"2,000","14,000",
General Building Contractors Association,PA,Eastern,Private industry,2362,United Brotherhood of Carpenters,UBC,,,5/1/97,5/19/97,"1,000","13,000",
Interior Finish Contractors Association of Delaware Valley,PA,Eastern,Private industry,23835,United Brotherhood of Carpenters,UBC,,,5/1/97,5/7/97,"3,000","15,000",
"General Motors Corp., Delphi Packard Electric Division",OH,Warren,Private industry,33632,"International Union of Electronic, Electrical, Salaried, Machine and Furniture Workers",IUE,,Electrical workers,5/13/97,5/14/97,"8,000","16,000",
Blue Cross Blue Shield of New Jersey,NJ,Newark,Private industry,524114,Office and Professional Employees International Union,OPEIU,,,5/27/97,5/30/97,"1,600","6,400",
Kaiser Permanente,CA,Northern,Private industry,622,California Nurses Association,CNA,,,7/17/97,7/18/97,"10,500","21,000",
General Motors Corp.,MI,"Warren, Flint, Orion Township, Lansing",Private industry,3361,United Automobile Workers,UAW,,,7/23/97,7/27/97,"14,100","25,200",Excludes workers in Canada and Mexico.
Shaw's Supermarkets Inc.,"MA, RI",Multiple states,Private industry,44511,United Food and Commercial Workers,UFCW,,,7/28/97,7/30/97,"6,200","18,600",
United Parcel Service,Interstate,,Private industry,49211,International Brotherhood of Teamsters,IBT,,,8/4/97,8/21/97,"180,000","2,032,500","All workers returned to work on 08/17/1997, with the exception of two locals in Chicago."
State of Ohio,OH,Statewide,State government,923,Service Employees International Union,SEIU,,Health care workers,8/5/97,8/5/97,"4,500","4,500",
Kaiser Permanente,"OR, WA",Multiple states,Private industry,622,Service Employees International Union,SEIU,,,9/2/97,10/4/97,"2,000","48,000",
Painting and Decorating Contractors Association,MO,St. Louis,Private industry,23832,International Union of Painters and Allied Trades,IUPAT,,,9/2/97,9/18/97,"2,200","28,600",
Bay Area Rapid Transit,CA,San Francisco area,Local government,485111,"Amalgamated Transit Union, American Federation of State, County, and Municipal Employees, and Service Employees International Union",ATU; AFSCME; SEIU,,,9/7/97,9/13/97,"2,600","13,000",
Kaiser Permanente,CA,Northern,Private industry,622,California Nurses Association,CNA,,,9/8/97,9/9/97,"20,300","40,600",
Vickers Inc.,NE,Omaha,Private industry,333996,United Paperworkers International Union,UPIU,,,9/15/97,9/16/97,"1,000","2,000",
Los Angeles County,CA,Los Angeles County,Local government,92313,Service Employees International Union,SEIU,,Child social workers,9/30/97,10/2/97,"2,200","6,600",
Colorado Fuel and Iron Company,CO,Pueblo,Private industry,331111,United Steelworkers,USW,,,10/3/97,12/30/97,"1,000","59,000",
Foster Farms Poultry,CA,Livingston,Private industry,311615,United Food and Commercial Workers,UFCW,,,10/8/97,10/23/97,"2,200","26,400",
Uniroyal Goodrich Tire Company,IN,Woodburn,Private industry,326211,United Steelworkers,USW,,,10/24/97,12/27/97,"1,200","51,600",
Kaiser Permanente,CA,Northern,Private industry,622,California Nurses Association,CNA,,,11/10/97,11/10/97,"8,900","8,900",
Kaiser Permanente,CA,Northern,Private industry,622,California Nurses Association,CNA,,,1/28/98,1/29/98,"8,000","16,000",
Honeywell Inc.,MN,Minneapolis area,Private industry,33451,International Brotherhood of Teamsters,IBT,,,2/1/98,2/15/98,"2,600","26,000",
Trane Company,KY,Lexington,Private industry,333415,United Automobile Workers,UAW,,,2/23/98,3/20/98,"1,100","22,000",
Kaiser Permanente,CA,Northern,Private industry,622,California Nurses Association,CNA,,,2/24/98,2/24/98,"7,100","7,100",
Community College of Philadelphia,PA,Philadelphia,Local government,61121,American Federation of Teachers,AFT,,,3/10/98,3/16/98,"1,000","5,000",
Construction companies,IA,Central,Private industry,236,United Brotherhood of Carpenters,UBC,,,5/1/98,5/13/98,"1,800","16,200",
"Wheland Foundry, Division of North American Royalties",TN,Chattanooga,Private industry,3315,United Steelworkers,USW,,,5/2/98,6/19/98,"1,300","44,200",
Peterbilt Motors Company,TN,Madison,Private industry,33612,United Automobile Workers,UAW,,,5/3/98,11/24/98,"1,200","170,400",
